DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
142,Prospect,NSW,18156,Chris,BOWEN,Australian Labor Party,ALP
176,Rankin,QLD,17535,Craig,EMERSON,Australian Labor Party,ALP
144,Reid,NSW,18202,Laurie,FERGUSON,Australian Labor Party,ALP
145,Richmond,NSW,18050,Justine,ELLIOT,Australian Labor Party,ALP
250,Riverina,NSW,17205,Kay,HULL,The Nationals,NP
146,Robertson,NSW,18082,Belinda,NEAL,Australian Labor Party,ALP
177,Ryan,QLD,17736,Michael,JOHNSON,Liberal,LP
232,Scullin,VIC,18116,Harry,JENKINS,Australian Labor Party,ALP
148,Shortland,NSW,18061,Jill,HALL,Australian Labor Party,ALP
307,Solomon,NT,17529,Damian,HALE,Australian Labor Party,ALP
246,Stirling,WA,17210,Michael,KEENAN,Liberal,LP
190,Sturt,SA,17723,Christopher,PYNE,Liberal,LP
247,Swan,WA,17214,Steve,IRONS,Liberal,LP
149,Sydney,NSW,18088,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,WA,17213,Dennis,JENSEN,Liberal,LP
150,Throsby,NSW,18068,Jennie,GEORGE,Australian Labor Party,ALP
191,Wakefield,SA,17731,Nick,CHAMPION,Australian Labor Party,ALP
233,Wannon,VIC,17271,David,HAWKER,Liberal,LP
151,Warringah,NSW,18029,Tony,ABBOTT,Liberal,LP
251,Watson,NSW,18199,Tony,BURKE,Australian Labor Party,ALP
152,Wentworth,NSW,17882,Malcolm,TURNBULL,Liberal,LP
153,Werriwa,NSW,18244,Chris,HAYES,Australian Labor Party,ALP
178,Wide Bay,QLD,17160,Warren,TRUSS,The Nationals,NP
234,Wills,VIC,18065,Kelvin,THOMSON,Australian Labor Party,ALP
